"","time_point","sentiment","X","nomem_encr","date","follow_the_news_tv.radio","follow_the_news_internet","follow_the_news_free.newspaper","follow_the_news_paid.newspaper","follow_the_news_not.hardly","follow_the_news_dont_know","interested_in_the_news","confidence_dutch_parliament","confidence_eu_parliament","rural_urban","education","age","news_consumption","cohort","edu","urb","trust_eu_levels","sentiment_binary"
"9978","Period 3",0.0268292296600567,64742,899234,"2020-12-01",1,0,0,1,0,0,1,8,5,4,4,63,TRUE,"Age 56+","Medium","Rural","Medium","Positive"
"9979","Period 3",0.0268292296600567,64379,892839,"2020-12-01",1,1,0,0,0,0,1,8,6,5,5,35,FALSE,"Age 30-55","Medium","Rural","Medium","Positive"
"9980","Period 3",0.0268292296600567,64380,892851,"2020-12-01",1,1,0,1,0,0,1,7,2,5,4,21,TRUE,"Age 16-29","Medium","Rural","Low","Positive"
"9981","Period 3",0.0268292296600567,64017,886634,"2020-12-01",1,1,0,0,0,0,1,7,6,1,5,35,FALSE,"Age 30-55","Medium","Urban","Medium","Positive"
"9982","Period 3",0.0268292296600567,64260,890672,"2020-12-01",0,1,0,0,0,0,2,6,4,2,6,23,FALSE,"Age 16-29","High","Urban","Medium","Positive"
"9983","Period 3",0.0268292296600567,64544,895781,"2020-12-01",0,1,0,0,0,0,1,8,8,4,3,22,FALSE,"Age 16-29","Medium","Rural","High","Positive"
"9984","Period 3",0.0268292296600567,64383,892892,"2020-12-01",1,1,0,1,0,0,1,7,6,3,5,74,TRUE,"Age 56+","Medium","Rural","Medium","Positive"
"9985","Period 3",0.0268292296600567,64385,892910,"2020-12-01",1,1,0,1,0,0,1,8,1,4,5,56,TRUE,"Age 56+","Medium","Rural","Low","Positive"
"9986","Period 3",0.0268292296600567,64022,886757,"2020-12-01",1,1,0,1,0,0,1,7,5,4,4,66,TRUE,"Age 56+","Medium","Rural","Medium","Positive"
"9987","Period 3",0.0268292296600567,64144,888777,"2020-12-01",1,1,0,1,0,0,1,8,6,1,6,25,TRUE,"Age 16-29","High","Urban","Medium","Positive"
"9988","Period 3",0.0268292296600567,64388,892969,"2020-12-01",0,1,0,0,0,0,2,5,3,4,4,25,FALSE,"Age 16-29","Medium","Rural","Low","Positive"
"9989","Period 3",0.0268292296600567,64025,886776,"2020-12-01",1,1,0,0,0,0,2,8,7,4,1,18,FALSE,"Age 16-29","Low","Rural","High","Positive"
"9990","Period 3",0.0268292296600567,64268,890789,"2020-12-01",1,1,0,1,0,0,1,2,1,5,1,73,TRUE,"Age 56+","Low","Rural","Low","Positive"
"9991","Period 3",0.0268292296600567,64027,886791,"2020-12-01",1,0,1,0,0,0,2,5,6,5,1,81,TRUE,"Age 56+","Low","Rural","Medium","Positive"
"9992","Period 3",0.0268292296600567,64270,890840,"2020-12-01",1,1,0,0,0,0,2,8,8,2,5,33,FALSE,"Age 30-55","Medium","Urban","High","Positive"
"9993","Period 3",0.0268292296600567,64029,886856,"2020-12-01",1,1,0,0,0,0,1,7,3,1,6,60,FALSE,"Age 56+","High","Urban","Low","Positive"
"9994","Period 3",0.0268292296600567,64394,893051,"2020-12-01",1,1,0,1,0,0,1,6,3,4,4,61,TRUE,"Age 56+","Medium","Rural","Low","Positive"
"9995","Period 3",0.0268292296600567,64395,893066,"2020-12-01",1,0,0,0,0,0,2,6,5,2,4,53,FALSE,"Age 30-55","Medium","Urban","Medium","Positive"
"9996","Period 3",0.0268292296600567,64637,897428,"2020-12-01",1,1,0,1,0,0,1,7,6,5,4,67,TRUE,"Age 56+","Medium","Rural","Medium","Positive"
"9997","Period 3",0.0268292296600567,64194,889513,"2020-12-01",1,1,0,0,0,0,2,7,7,1,5,68,FALSE,"Age 56+","Medium","Urban","High","Positive"
"9998","Period 3",0.0268292296600567,64034,886892,"2020-12-01",1,1,0,0,0,0,2,7,7,2,6,57,FALSE,"Age 56+","High","Urban","High","Positive"
"9999","Period 3",0.0268292296600567,64035,886904,"2020-12-01",1,1,0,0,0,0,2,7,6,1,6,41,FALSE,"Age 30-55","High","Urban","Medium","Positive"
"10000","Period 3",0.0268292296600567,64521,895443,"2020-12-01",1,0,0,1,0,0,1,9,9,5,6,65,TRUE,"Age 56+","High","Rural","High","Positive"
"10001","Period 3",0.0268292296600567,64037,886959,"2020-12-01",1,1,0,0,0,0,3,6,6,3,1,21,FALSE,"Age 16-29","Low","Rural","Medium","Positive"
"10002","Period 3",0.0268292296600567,64038,886969,"2020-12-01",1,0,0,0,0,0,2,5,6,3,3,31,FALSE,"Age 30-55","Medium","Rural","Medium","Positive"
"10003","Period 3",0.0268292296600567,64039,886996,"2020-12-01",1,0,0,0,0,0,1,7,6,1,1,72,FALSE,"Age 56+","Low","Urban","Medium","Positive"
"10004","Period 3",0.0268292296600567,64404,893249,"2020-12-01",1,0,0,0,0,0,2,7,4,5,5,31,FALSE,"Age 30-55","Medium","Rural","Medium","Positive"
"10005","Period 3",0.0268292296600567,64525,895529,"2020-12-01",1,1,0,0,0,0,2,8,6,3,4,47,FALSE,"Age 30-55","Medium","Rural","Medium","Positive"
"10006","Period 3",0.0268292296600567,64406,893289,"2020-12-01",1,1,0,0,0,0,1,2,0,1,3,72,FALSE,"Age 56+","Medium","Urban","Low","Positive"
"10007","Period 3",0.0268292296600567,64043,887088,"2020-12-01",1,1,0,0,0,0,1,9,6,2,3,29,FALSE,"Age 16-29","Medium","Urban","Medium","Positive"
"10008","Period 3",0.0268292296600567,64044,887136,"2020-12-01",1,1,0,0,0,0,2,7,7,5,3,19,FALSE,"Age 16-29","Medium","Rural","High","Positive"
"10009","Period 3",0.0268292296600567,64166,889105,"2020-12-01",1,0,0,1,0,0,1,7,5,1,2,64,TRUE,"Age 56+","Low","Urban","Medium","Positive"
"10010","Period 3",0.0268292296600567,64046,887158,"2020-12-01",1,0,0,0,0,0,1,6,0,5,4,46,FALSE,"Age 30-55","Medium","Rural","Low","Positive"
"10011","Period 3",0.0268292296600567,64047,887173,"2020-12-01",1,1,0,1,0,0,1,7,6,5,5,72,TRUE,"Age 56+","Medium","Rural","Medium","Positive"
"10012","Period 3",0.0268292296600567,64048,887176,"2020-12-01",1,1,0,1,0,0,2,6,1,3,5,30,TRUE,"Age 30-55","Medium","Rural","Low","Positive"
"10013","Period 3",0.0268292296600567,64049,887185,"2020-12-01",1,0,0,0,0,0,2,7,5,2,6,50,FALSE,"Age 30-55","High","Urban","Medium","Positive"
"10014","Period 3",0.0268292296600567,64535,895693,"2020-12-01",1,1,0,0,0,0,2,6,5,3,2,19,FALSE,"Age 16-29","Low","Rural","Medium","Positive"
"10015","Period 3",0.0268292296600567,64415,893420,"2020-12-01",1,0,0,1,0,0,2,3,0,1,1,84,TRUE,"Age 56+","Low","Urban","Low","Positive"
"10016","Period 3",0.0268292296600567,64052,887249,"2020-12-01",1,1,0,1,0,0,2,6,7,2,5,77,TRUE,"Age 56+","Medium","Urban","High","Positive"
"10017","Period 3",0.0268292296600567,64053,887268,"2020-12-01",0,0,0,0,1,0,2,7,7,5,1,16,FALSE,"Age 16-29","Low","Rural","High","Positive"
"10018","Period 3",0.0268292296600567,64054,887274,"2020-12-01",1,1,0,0,0,0,1,5,6,3,4,79,FALSE,"Age 56+","Medium","Rural","Medium","Positive"
"10019","Period 3",0.0268292296600567,64418,893435,"2020-12-01",1,1,0,0,0,0,1,5,5,3,5,64,FALSE,"Age 56+","Medium","Rural","Medium","Positive"
"10020","Period 3",0.0268292296600567,64096,888015,"2020-12-01",0,1,0,0,0,0,2,0,3,3,6,46,FALSE,"Age 30-55","High","Rural","Low","Positive"
"10021","Period 3",0.0268292296600567,64057,887365,"2020-12-01",1,1,0,0,0,0,1,8,7,5,6,44,FALSE,"Age 30-55","High","Rural","High","Positive"
